,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Juegos Twin:,,,,,,,,,,,,,,
,"Juegos Twin (8"") doble pomo: modelo Cross",,,,,,,,,,,,,,
,"Juegos Twin (8"") doble pomo: modelo Time",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Grifería Institucional:,,,,,,,,,,,,,,
,Lavamanos válvula temporizada institucional,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Línea 2: Grifería para Fregadores (Cocina),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Monomandos Profesionales (Línea Chef / Resorte),,,,,,,,,,,,,,
,Monomando Modelo Bridge Resorte Metálico,,,,,,,,,,,,,,
,Monomando Modelo Bridge Flexible,,,,,,,,,,,,,,
,Monomando Modelo Bridge Black,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Monomandos Extensibles (Manguera extraíble),,,,,,,,,,,,,,
,Monomando Modelo Hammer Extensible,,,,,,,,,,,,,,
,Monomando Modelo Rek Extensible,,,,,,,,,,,,,,
,Monomando Modelo Vogue Extensible,,,,,,,,,,,,,,
,Monomando Modelo Twist Extensible,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Cuello de Cisne Tradicional:,,,,,,,,,,,,,,
,Fregadero Monomando Pico Cisne Modelo Joy,,,,,,,,,,,,,,
,Grifo Fregadero Monomando Modelo Ovni,,,,,,,,,,,,,,
,Monomando Fregadero Cuello Cisne Modelo Tai,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Griferías para instalación a Pared:,,,,,,,,,,,,,,
,Monomando Fregadero Pared Empotrar Modelo Joy,,,,,,,,,,,,,,
,Monomando Fregadero Pared Empotrar Modelo Plegable,,,,,,,,,,,,,,
,Grifo Pared Monomando Modelo Square Cisne,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Mezcladoras Doble Manilla y Grifos Individuales:,,,,,,,,,,,,,,
,Grifo Fregadero Pico Modelo Seven,,,,,,,,,,,,,,
,Grifo Fregadero Pico Cisne Eagle,,,,,,,,,,,,,,
,Grifo Fregadero Pico Cisne Chopp,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Llaves de Arresto (Pared):,,,,,,,,,,,,,,
,Llave de Arresto Modelo Square,,,,,,,,,,,,,,
,Llave de Arresto Modelo Stone,,,,,,,,,,,,,,
,Llave de Arresto Doble Salida,,,,,,,,,,,,,,
,"Llave de Arresto 1/2x3/8""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Válvulas Industriales y Pesadas (Metal),,,,,,,,,,,,,,
,"Válvulas de Compuerta (Bronce/Roja): Pesadas (De 1/2"" hasta 4"").",,,,,,,,,,,,,,
,"Válvula de Compuerta (Bronce/Roja): Estándar (De 1/2"" hasta 4"").",,,,,,,,,,,,,,
,"Válvula de Bola Metálica (De paso pesado): 1/2"", 3/4"", 1"", 1 1/2"", 2"", 3"", 4"".",,,,,,,,,,,,,,
,"Llaves de Bola (Con Mariposa de Aluminio): 1/2"".",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Línea de Válvulas PVC (Plástico):,,,,,,,,,,,,,,
,"Válvulas de Bola PVC (Pegar/Soldar): 1/2"", 3/4"", 1"", 1 1/2"", 2"", 3"", 4"".",,,,,,,,,,,,,,
,"Válvulas de Bola PVC (Roscar): 1/2"" a 4"".",,,,,,,,,,,,,,
,Válvula de Bola Tipo Doble Unión Universal,,,,,,,,,,,,,,
,Válvula de Bola Tipo Doble Unión Rosca,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Válvulas de Retención y Especiales (Check),,,,,,,,,,,,,,
,"Válvulas de Retención (Check de Pistón de Bronce): 1/2"" a 4"".",,,,,,,,,,,,,,
,"Válvulas de Retención (Swing Check / Gualeta): 1/2"" a 4"".",,,,,,,,,,,,,,
,Válvulas Check con Resorte (Foot Valve).,,,,,,,,,,,,,,
,Válvulas Reductoras de Presión Modelo Italy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Llaves de Chorro y Manguera:,,,,,,,,,,,,,,
,"Llave de Chorro 1/2"" de Bronce",,,,,,,,,,,,,,
,"Llave de Chorro 1/2"" Cromada de Lujo",,,,,,,,,,,,,,
,"Llave de Chorro 1/2"" Plástica Económica",,,,,,,,,,,,,,
,Llave de Chorro Camello de Lujo,,,,,,,,,,,,,,
